service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20131117,20140201
2,0,1,0,1,0,0,0,20131117,20140201
3,1,0,1,0,1,0,0,20131117,20140201
4,0,0,0,0,0,1,0,20131117,20140201
5,0,0,0,0,0,0,1,20131117,20140201
4983-exception,1,1,1,1,1,0,0,20131117,20140201
7361-exception,1,1,1,1,1,0,0,20131117,20140201
5662-exception,1,1,1,1,1,0,0,20131117,20140201
4311-exception,1,1,1,1,1,0,0,20131117,20140201
2777-exception,1,1,1,1,1,0,0,20131117,20140201
4383-exception,1,1,1,1,1,0,0,20131117,20140201
245-exception,1,1,1,1,1,0,0,20131117,20140201
2814-exception,1,1,1,1,1,0,0,20131117,20140201
240-exception,1,0,1,0,1,0,0,20131117,20140201
7974-exception,1,1,1,1,1,0,0,20131117,20140201
5412-exception,1,1,1,1,1,0,0,20131117,20140201
5062-exception,1,1,1,1,1,0,0,20131117,20140201
243-exception,1,1,1,1,1,0,0,20131117,20140201
3510-exception,1,1,1,1,1,0,0,20131117,20140201
238-exception,1,0,1,0,1,0,0,20131117,20140201
3626-exception,1,1,1,1,1,0,0,20131117,20140201
7500-exception,1,1,1,1,1,0,0,20131117,20140201
5542-exception,1,1,1,1,1,0,0,20131117,20140201
4593-exception,1,1,1,1,1,0,0,20131117,20140201
7716-exception,1,1,1,1,1,0,0,20131117,20140201
5318-exception,1,1,1,1,1,0,0,20131117,20140201
8115-exception,1,1,1,1,1,0,0,20131117,20140201
7591-exception,1,1,1,1,1,0,0,20131117,20140201
8403-exception,1,1,1,1,1,0,0,20131117,20140201
4320-exception,1,1,1,1,1,0,0,20131117,20140201
2724-exception,1,1,1,1,1,0,0,20131117,20140201
5663-exception,1,1,1,1,1,0,0,20131117,20140201
3103-exception,1,1,1,1,1,0,0,20131117,20140201
1795-exception,1,0,1,0,1,0,0,20131117,20140201
8584-exception,0,1,0,1,0,0,0,20131117,20140201
8057-exception,1,1,1,1,1,0,0,20131117,20140201
1793-exception,1,0,1,0,1,0,0,20131117,20140201
8583-exception,0,1,0,1,0,0,0,20131117,20140201
1792-exception,1,0,1,0,1,0,0,20131117,20140201
650-exception,1,0,1,0,1,0,0,20131117,20140201
249-exception,1,1,1,1,1,0,0,20131117,20140201
1790-exception,1,0,1,0,1,0,0,20131117,20140201
247-exception,1,1,1,1,1,0,0,20131117,20140201
648-exception,1,0,1,0,1,0,0,20131117,20140201
1788-exception,1,0,1,0,1,0,0,20131117,20140201
5005-exception,1,1,1,1,1,0,0,20131117,20140201
8473-exception,1,1,1,1,1,0,0,20131117,20140201
3494-exception,0,1,0,1,0,0,0,20131117,20140201
1329-exception,0,1,0,1,0,0,0,20131117,20140201
