route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
1,1,Downtown Spirit (Clockwise),3,http://www.winnipegtransit.com/routes/1,008000,FFFFFF
10,10,St. Boniface-Wolseley,3,http://www.winnipegtransit.com/routes/10,FFFFFF,000000
11,11,Portage-Kildonan,3,http://www.winnipegtransit.com/routes/11,FFFFFF,000000
12,12,William,3,http://www.winnipegtransit.com/routes/12,FFFFFF,000000
137,137,Richmond Super Express,3,http://www.winnipegtransit.com/routes/137,0072B9,FFFFFF
14,14,Ellice-St. Mary's,3,http://www.winnipegtransit.com/routes/14,FFFFFF,000000
15,15,Sargent-Mountain,3,http://www.winnipegtransit.com/routes/15,FFFFFF,000000
16,16,Selkirk-Osborne,3,http://www.winnipegtransit.com/routes/16,FFFFFF,000000
160,160,Downtown - University of Manitoba,3,http://www.winnipegtransit.com/routes/160,0072B9,FFFFFF
161,161,University Super Express,3,http://www.winnipegtransit.com/routes/161,0072B9,FFFFFF
162,162,Downtown - Ft Richmond - U of M - St Norbert Express,3,http://www.winnipegtransit.com/routes/162,0072B9,FFFFFF
163,163,Waverley Heights Express,3,http://www.winnipegtransit.com/routes/163,0072B9,FFFFFF
17,17,McGregor,3,http://www.winnipegtransit.com/routes/17,FFFFFF,000000
170,170,Downtown - Ft Richmond - U of M - St Norbert,3,http://www.winnipegtransit.com/routes/170,0072B9,FFFFFF
18,18,North Main-Corydon,3,http://www.winnipegtransit.com/routes/18,FFFFFF,000000
180,180,Industrial Express,3,http://www.winnipegtransit.com/routes/180,0072B9,FFFFFF
181,181,Whyte Ridge Express,3,http://www.winnipegtransit.com/routes/181,0072B9,FFFFFF
183,183,Richmond West Express,3,http://www.winnipegtransit.com/routes/183,0072B9,FFFFFF
185,185,Osborne Village Express,3,http://www.winnipegtransit.com/routes/185,0072B9,FFFFFF
19,19,Marion-Logan-Notre Dame,3,http://www.winnipegtransit.com/routes/19,FFFFFF,000000
2,2,Downtown Spirit (Counter-Clockwise),3,http://www.winnipegtransit.com/routes/2,008000,FFFFFF
20,20,Academy-Watt,3,http://www.winnipegtransit.com/routes/20,FFFFFF,000000
21,21,Portage Express,3,http://www.winnipegtransit.com/routes/21,FFFF00,000000
22,22,Assiniboia Express,3,http://www.winnipegtransit.com/routes/22,FFFF00,000000
24,24,Ness Express,3,http://www.winnipegtransit.com/routes/24,FFFF00,000000
25,25,Ness Super Express,3,http://www.winnipegtransit.com/routes/25,FFFF00,000000
26,26,Logan - Berry,3,http://www.winnipegtransit.com/routes/26,FFFFFF,000000
28,28,Brookside Express,3,http://www.winnipegtransit.com/routes/28,FFFF00,000000
29,29,Sherbrook,3,http://www.winnipegtransit.com/routes/29,FFFFFF,000000
3,3,Downtown Spirit,3,http://www.winnipegtransit.com/routes/3,008000,FFFFFF
30,30,Inkster Park Express,3,http://www.winnipegtransit.com/routes/30,FFFF00,000000
31,31,Keewatin Express,3,http://www.winnipegtransit.com/routes/31,FFFF00,000000
32,32,North Main Express,3,http://www.winnipegtransit.com/routes/32,FFFF00,000000
33,33,Maples,3,http://www.winnipegtransit.com/routes/33,FFFFFF,000000
34,34,McPhillips Super Express,3,http://www.winnipegtransit.com/routes/34,FFFF00,000000
35,35,Maples Super Express,3,http://www.winnipegtransit.com/routes/35,FFFF00,000000
36,36,Northwest Super Express,3,http://www.winnipegtransit.com/routes/36,FFFF00,000000
38,38,Salter,3,http://www.winnipegtransit.com/routes/38,FFFFFF,000000
39,39,Taylor Park & Ride Express,3,http://www.winnipegtransit.com/routes/39,FFFF00,000000
40,40,All Seasons Express,3,http://www.winnipegtransit.com/routes/40,FFFF00,000000
41,41,Henderson Express,3,http://www.winnipegtransit.com/routes/41,FFFF00,000000
42,42,Plessis Express,3,http://www.winnipegtransit.com/routes/42,FFFF00,000000
43,43,Munroe,3,http://www.winnipegtransit.com/routes/43,FFFFFF,000000
44,44,Grey,3,http://www.winnipegtransit.com/routes/44,FFFFFF,000000
45,45,Talbot,3,http://www.winnipegtransit.com/routes/45,FFFFFF,000000
46,46,Transcona Express,3,http://www.winnipegtransit.com/routes/46,FFFF00,000000
47,47,Transcona,3,http://www.winnipegtransit.com/routes/47,FFFFFF,000000
48,48,McMeans Express,3,http://www.winnipegtransit.com/routes/48,FFFF00,000000
49,49,Dugald,3,http://www.winnipegtransit.com/routes/49,FFFFFF,000000
50,50,Archibald,3,http://www.winnipegtransit.com/routes/50,FFFFFF,000000
51,51,St. Vital Centre - University of Manitoba,3,http://www.winnipegtransit.com/routes/51,FFFFFF,000000
53,53,Norwood,3,http://www.winnipegtransit.com/routes/53,FFFFFF,000000
54,54,St. Mary's Express,3,http://www.winnipegtransit.com/routes/54,FFFF00,000000
55,55,St. Anne's,3,http://www.winnipegtransit.com/routes/55,FFFFFF,000000
56,56,St. Boniface,3,http://www.winnipegtransit.com/routes/56,FFFFFF,000000
57,57,Southdale Express,3,http://www.winnipegtransit.com/routes/57,FFFF00,000000
58,58,Dakota Express,3,http://www.winnipegtransit.com/routes/58,FFFF00,000000
59,59,South St. Anne's Express,3,http://www.winnipegtransit.com/routes/59,FFFF00,000000
60,60,Pembina,3,http://www.winnipegtransit.com/routes/60,FFFFFF,000000
64,64,Lindenwoods Express,3,http://www.winnipegtransit.com/routes/64,FFFF00,000000
65,65,Grant Express,3,http://www.winnipegtransit.com/routes/65,FFFF00,000000
66,66,Grant,3,http://www.winnipegtransit.com/routes/66,FFFFFF,000000
67,67,Charleswood Express,3,http://www.winnipegtransit.com/routes/67,FFFF00,000000
68,68,Crescent,3,http://www.winnipegtransit.com/routes/68,FFFFFF,000000
71,71,Arlington,3,http://www.winnipegtransit.com/routes/71,FFFFFF,000000
72,72,"",3,http://www.winnipegtransit.com/routes/72,FFFFFF,000000
75,75,Crosstown East,3,http://www.winnipegtransit.com/routes/75,FFFFFF,000000
76,76,"",3,http://www.winnipegtransit.com/routes/76,FFFFFF,000000
77,77,Crosstown North,3,http://www.winnipegtransit.com/routes/77,FFFFFF,000000
78,78,Crosstown West,3,http://www.winnipegtransit.com/routes/78,FFFFFF,000000
79,79,Charleswood,3,http://www.winnipegtransit.com/routes/79,FFFFFF,000000
82,82,Grace Hospital - Unicity,3,http://www.winnipegtransit.com/routes/82,FFFFFF,000000
83,83,Unicity - Strauss Dr - Murray Industrial Park,3,http://www.winnipegtransit.com/routes/83,FFFFFF,000000
84,84,Whyte Ridge,3,http://www.winnipegtransit.com/routes/84,FFFFFF,000000
85,85,Kildonan Place - North Kildonan,3,http://www.winnipegtransit.com/routes/85,FFFFFF,000000
86,86,Whyte Ridge,3,http://www.winnipegtransit.com/routes/86,FFFFFF,000000
87,87,South Transcona - Crossroads Station,3,http://www.winnipegtransit.com/routes/87,FFFFFF,000000
88,88,Inkster Industrial Park - Scotia,3,http://www.winnipegtransit.com/routes/88,FFFFFF,000000
89,89,North Transcona - Kildonan Place,3,http://www.winnipegtransit.com/routes/89,FFFFFF,000000
90,90,Kildonan Place - Whellams Lane,3,http://www.winnipegtransit.com/routes/90,FFFFFF,000000
