route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
1,1,682227,Downtown Spirit (clockwise),0,47449,32638,1
1,1,682228,Downtown Spirit (clockwise),0,47449,32638,1
1,1,682229,Downtown Spirit (clockwise),0,47449,32638,1
1,1,682230,Downtown Spirit (clockwise),0,47449,32638,1
1,1,682231,Downtown Spirit (clockwise),0,47449,32638,1
1,1,682232,Downtown Spirit (clockwise),0,47449,32638,1
1,1,682233,Downtown Spirit (clockwise),0,47449,32638,1
1,1,682234,Downtown Spirit (clockwise),0,47449,32638,1
1,1,682237,Downtown Spirit (clockwise),0,47450,32637,1
1,1,682238,Downtown Spirit (clockwise),0,47450,32638,1
1,1,682239,Downtown Spirit (clockwise),0,47450,32638,1
1,1,682240,Downtown Spirit (clockwise),0,47450,32638,1
1,1,682241,Downtown Spirit (clockwise),0,47450,32638,1
1,1,682242,Downtown Spirit (clockwise),0,47450,32638,1
1,1,682243,Downtown Spirit (clockwise),0,47450,32638,1
1,1,682244,Downtown Spirit (clockwise),0,47450,32638,1
1,1,682245,Downtown Spirit (clockwise),0,47450,32638,1
1,5,694958,Downtown Spirit (clockwise),0,48451,32637,1
1,5,694960,Downtown Spirit (clockwise),0,48451,32638,1
1,5,694962,Downtown Spirit (clockwise),0,48451,32638,1
1,5,694964,Downtown Spirit (clockwise),0,48451,32638,1
1,5,694966,Downtown Spirit (clockwise),0,48451,32638,1
1,5,694968,Downtown Spirit (clockwise),0,48451,32638,1
1,5,695346,Downtown Spirit (clockwise),0,48466,32638,1
1,5,695348,Downtown Spirit (clockwise),0,48466,32638,1
1,5,695350,Downtown Spirit (clockwise),0,48466,32638,1
1,5,695352,Downtown Spirit (clockwise),0,48466,32638,1
1,5,695354,Downtown Spirit (clockwise),0,48466,32638,1
1,5,695359,Downtown Spirit (clockwise),0,48467,32638,1
1,5,695361,Downtown Spirit (clockwise),0,48467,32638,1
1,5,695363,Downtown Spirit (clockwise),0,48467,32638,1
1,5,695365,Downtown Spirit (clockwise),0,48467,32638,1
1,5,695367,Downtown Spirit (clockwise),0,48467,32638,1
1,4,690856,Downtown Spirit (clockwise),0,48269,32637,1
1,4,690857,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690858,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690859,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690860,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690861,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690862,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690863,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690864,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690865,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690866,Downtown Spirit (clockwise),0,48269,32638,1
1,4,690867,Downtown,0,48269,32639,1
1,4,690870,Downtown Spirit (clockwise),0,48270,32638,1
1,4,690871,Downtown Spirit (clockwise),0,48270,32638,1
1,4,690872,Downtown Spirit (clockwise),0,48270,32638,1
1,4,690873,Downtown Spirit (clockwise),0,48270,32638,1
1,4,690874,Downtown Spirit (clockwise),0,48270,32638,1
